Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age
EPX,Travel Agency,Online,Cancellation Plan,0,2,CHINA,14.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,32,UNITED KINGDOM,59.4,35.64,None,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,107,INDONESIA,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,78,ITALY,67.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,AUSTRALIA,9.9,5.94,None,49
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,48,VIET NAM,21.0,0.0,None,33
EPX,Travel Agency,Online,Cancellation Plan,0,23,UNITED STATES,80.0,0.0,None,24
EPX,Travel Agency,Online,2 way Comprehensive Plan,1,8,CHINA,34.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,8,THAILAND,30.0,10.5,M,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,"KOREA, REPUBLIC OF",93.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,5,SINGAPORE,37.0,9.25,F,50
C2B,Airlines,Online,Silver Plan,0,32,SINGAPORE,72.0,18.0,M,37
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,34,CHINA,30.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,26,PHILIPPINES,0.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,AUSTRALIA,29.7,17.82,None,57
C2B,Airlines,Online,Bronze Plan,0,28,SINGAPORE,16.0,4.0,M,31
EPX,Travel Agency,Online,Cancellation Plan,0,167,SINGAPORE,20.0,0.0,None,26
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,PHILIPPINES,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,55,SINGAPORE,30.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,63,"KOREA, REPUBLIC OF",35.0,12.25,M,29
EPX,Travel Agency,Online,Cancellation Plan,0,49,UNITED KINGDOM,80.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,90,INDONESIA,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,22,UNITED STATES,106.0,0.0,None,26
C2B,Airlines,Online,Silver Plan,0,5,SINGAPORE,22.5,5.63,F,42
EPX,Travel Agency,Online,Cancellation Plan,0,26,UNITED KINGDOM,54.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,26,PHILIPPINES,47.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,31,INDIA,10.0,0.0,None,41
EPX,Travel Agency,Online,Cancellation Plan,0,16,UNITED STATES,80.0,0.0,None,38
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,AUSTRALIA,39.6,23.76,None,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,53,UNITED KINGDOM,168.3,100.98,None,54
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,19,SOUTH AFRICA,39.6,23.76,None,25
SSI,Airlines,Online,Ticket Protector,0,63,SINGAPORE,5.92,1.66,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,50,CHINA,46.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,33,AUSTRALIA,10.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,106,UNITED STATES,51.0,0.0,None,38
JZI,Airlines,Online,Basic Plan,0,11,MYANMAR,18.0,6.3,F,27
EPX,Travel Agency,Online,Cancellation Plan,0,26,INDONESIA,10.0,0.0,None,22
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,65,UNITED STATES,21.0,0.0,None,22
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,48,AUSTRALIA,79.2,47.52,None,49
JZI,Airlines,Online,Value Plan,0,38,UNITED KINGDOM,87.0,30.45,M,54
JZI,Airlines,Online,Basic Plan,0,23,VIET NAM,22.0,7.7,M,75
JZI,Airlines,Online,Basic Plan,0,6,MALAYSIA,22.0,7.7,M,54
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,55,NEW ZEALAND,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,73,"TAIWAN, PROVINCE OF CHINA",112.0,0.0,None,24
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,27,AUSTRALIA,0.0,23.76,None,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,INDONESIA,26.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,72,PHILIPPINES,41.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,12,SINGAPORE,27.0,6.75,M,39
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,22,ITALY,29.7,17.82,None,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,30,MYANMAR,20.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,12,"KOREA, REPUBLIC OF",19.8,11.88,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,43,SINGAPORE,14.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,115,JAPAN,49.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,18,SINGAPORE,54.5,13.63,M,27
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,FRANCE,39.6,23.76,None,46
JZI,Airlines,Online,Basic Plan,0,8,MYANMAR,18.0,6.3,F,43
KML,Travel Agency,Online,Premier Plan,0,12,NETHERLANDS,72.0,27.36,M,48
ART,Airlines,Online,24 Protect,0,4,SINGAPORE,19.5,6.82,M,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,98,PHILIPPINES,20.0,0.0,None,36
LWC,Travel Agency,Online,Annual Travel Protect Silver,0,381,CHINA,165.0,107.25,M,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,81,JAPAN,61.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,9,MYANMAR,18.0,6.3,F,27
C2B,Airlines,Online,Bronze Plan,0,19,SINGAPORE,39.0,9.75,M,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,23,MALAYSIA,24.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,56,SWITZERLAND,73.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,49,SINGAPORE,10.0,0.0,None,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,28,MALAYSIA,23.0,0.0,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,14,MALAYSIA,10.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,167,MONGOLIA,45.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,10,PHILIPPINES,13.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,217,SINGAPORE,117.75,29.44,F,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,MALAYSIA,0.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,9,SINGAPORE,23.5,5.88,F,21
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,6,MACAO,20.0,0.0,None,26
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,81,JAPAN,45.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,78,SINGAPORE,23.5,5.88,F,28
EPX,Travel Agency,Online,Cancellation Plan,0,49,UNITED STATES,75.0,0.0,None,39
EPX,Travel Agency,Online,Cancellation Plan,0,5,AUSTRALIA,16.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,22,SINGAPORE,16.0,4.0,F,58
TST,Travel Agency,Offline,Travel Cruise Protect,0,43,MALAYSIA,30.0,10.5,F,21
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,JAPAN,40.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,MALAYSIA,29.7,17.82,None,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,VIET NAM,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,UNITED KINGDOM,99.0,0.0,None,24
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,20,MALAYSIA,39.6,23.76,None,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,77,AUSTRALIA,29.7,17.82,None,61
TST,Travel Agency,Offline,Travel Cruise Protect,0,72,MALAYSIA,30.0,10.5,F,64
EPX,Travel Agency,Online,Cancellation Plan,0,5,SINGAPORE,12.0,0.0,None,34
EPX,Travel Agency,Online,Cancellation Plan,0,106,INDONESIA,17.0,0.0,None,40
C2B,Airlines,Online,Annual Silver Plan,0,380,SINGAPORE,216.0,54.0,F,21
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,CAMBODIA,45.0,0.0,None,36
ART,Airlines,Online,24 Protect,0,85,CAMBODIA,29.08,10.18,M,48
C2B,Airlines,Online,Bronze Plan,0,39,SINGAPORE,16.0,4.0,M,34
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,HONG KONG,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,37,AUSTRALIA,14.0,0.0,None,29
EPX,Travel Agency,Online,Cancellation Plan,0,13,PHILIPPINES,16.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,24,HONG KONG,38.0,0.0,None,36
RAB,Airlines,Online,Value Plan,0,6,BRUNEI DARUSSALAM,15.0,6.0,M,57
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,35,SINGAPORE,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,57,CHINA,10.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,291.75,72.94,F,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,1,72,GERMANY,93.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,118,UNITED KINGDOM,112.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,2,MYANMAR,18.0,6.3,F,55
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,242,AUSTRALIA,-89.1,53.46,None,61
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,16,PHILIPPINES,35.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,MALAYSIA,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,259,ITALY,80.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,21,CHINA,80.0,0.0,None,25
EPX,Travel Agency,Online,Cancellation Plan,0,19,JAPAN,29.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,39,PHILIPPINES,37.0,12.95,F,36
EPX,Travel Agency,Online,Cancellation Plan,0,6,INDONESIA,10.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,21,UNITED KINGDOM,138.6,83.16,None,31
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,187.85,46.96,M,59
C2B,Airlines,Online,Bronze Plan,0,10,SINGAPORE,16.0,4.0,M,21
EPX,Travel Agency,Online,Cancellation Plan,0,7,HONG KONG,74.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,48,MALAYSIA,10.0,0.0,None,24
C2B,Airlines,Online,Bronze Plan,0,72,SINGAPORE,35.5,8.88,M,37
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,25,HUNGARY,101.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,28,HONG KONG,23.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,29,SINGAPORE,19.2,4.8,F,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,65,AUSTRALIA,0.0,59.4,None,40
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,111,CANADA,96.0,0.0,None,22
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,102,"TAIWAN, PROVINCE OF CHINA",20.0,0.0,None,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,CHINA,21.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,15,UNITED STATES,80.0,0.0,None,44
EPX,Travel Agency,Online,Cancellation Plan,0,186,JAPAN,-27.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,34,SINGAPORE,21.0,5.25,M,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,26,"TAIWAN, PROVINCE OF CHINA",27.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,6,CHINA,26.0,9.1,F,44
JZI,Airlines,Online,Basic Plan,0,18,MYANMAR,37.0,12.95,M,31
EPX,Travel Agency,Online,Cancellation Plan,0,7,JAPAN,80.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,121,SINGAPORE,40.0,10.0,F,45
RAB,Airlines,Online,Value Plan,0,158,BRUNEI DARUSSALAM,31.0,12.4,F,21
EPX,Travel Agency,Online,Cancellation Plan,0,76,UNITED STATES,80.0,0.0,None,38
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,CHINA,50.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,30,RUSSIAN FEDERATION,80.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,"TAIWAN, PROVINCE OF CHINA",48.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,3,MYANMAR,18.0,6.3,M,51
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,MALAYSIA,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,6,INDONESIA,11.0,0.0,None,38
EPX,Travel Agency,Online,Cancellation Plan,0,7,"TAIWAN, PROVINCE OF CHINA",12.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,22,SINGAPORE,10.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,90,SPAIN,0.0,5.94,None,31
EPX,Travel Agency,Online,Cancellation Plan,0,1,SINGAPORE,10.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,156,SINGAPORE,-50.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,29,THAILAND,59.4,35.64,None,45
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,270,NEW ZEALAND,148.5,89.1,None,50
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,32,INDIA,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,"KOREA, REPUBLIC OF",112.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,9,SINGAPORE,11.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,143,THAILAND,22.0,7.7,M,42
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,PHILIPPINES,20.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,24,OMAN,198.0,118.8,None,32
C2B,Airlines,Online,Bronze Plan,0,21,SINGAPORE,27.0,6.75,M,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,30,UNITED STATES,112.0,0.0,None,60
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,20,INDIA,37.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,174,"KOREA, REPUBLIC OF",83.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,30,HONG KONG,112.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,11,FRANCE,12.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,1,4,SINGAPORE,16.0,4.0,M,26
C2B,Airlines,Online,Bronze Plan,0,163,SINGAPORE,17.0,4.25,F,30
JWT,Airlines,Online,Value Plan,0,2,INDIA,31.0,12.4,M,118
EPX,Travel Agency,Online,Cancellation Plan,0,107,GERMANY,64.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,28,UNITED STATES,0.0,53.46,None,31
EPX,Travel Agency,Online,Cancellation Plan,0,29,SINGAPORE,11.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,63,SINGAPORE,70.85,17.71,F,25
EPX,Travel Agency,Online,Cancellation Plan,0,18,UNITED STATES,12.0,0.0,None,42
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,65,THAILAND,20.0,0.0,None,56
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,MALAYSIA,20.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,17,SINGAPORE,16.0,4.0,F,54
EPX,Travel Agency,Online,Cancellation Plan,0,33,HONG KONG,13.0,0.0,None,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,58,INDONESIA,20.0,0.0,None,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,"TAIWAN, PROVINCE OF CHINA",26.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,9,AUSTRALIA,0.0,41.58,None,31
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,11,INDONESIA,20.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,367,SINGAPORE,252.85,63.21,F,37
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,GERMANY,41.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,35,VIET NAM,12.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,65,INDONESIA,22.0,7.7,M,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,30,INDONESIA,-20.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,57,AUSTRALIA,69.3,41.58,None,30
EPX,Travel Agency,Online,Cancellation Plan,0,59,CHINA,56.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,3,MALAYSIA,20.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,216.0,54.0,M,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,FIJI,89.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,HONG KONG,22.0,0.0,None,45
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,29,THAILAND,69.3,41.58,None,34
EPX,Travel Agency,Online,Cancellation Plan,0,28,UNITED STATES,74.0,0.0,None,47
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,0,129,"KOREA, REPUBLIC OF",36.0,23.4,F,36
ART,Airlines,Online,24 Protect,0,3,SINGAPORE,13.0,4.55,M,48
EPX,Travel Agency,Online,Cancellation Plan,0,165,FRANCE,14.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,13,ICELAND,29.7,17.82,None,24
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,39,SWITZERLAND,58.0,0.0,None,35
EPX,Travel Agency,Online,Cancellation Plan,0,55,UNITED STATES,128.0,0.0,None,52
C2B,Airlines,Online,Silver Plan,0,11,SINGAPORE,18.5,4.63,M,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,98,MALAYSIA,39.6,23.76,None,46
EPX,Travel Agency,Online,Cancellation Plan,0,1,SINGAPORE,10.0,0.0,None,36
C2B,Airlines,Online,Gold Plan,0,20,SINGAPORE,182.0,45.5,F,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,1,29,THAILAND,35.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,11,SINGAPORE,43.55,10.89,F,24
C2B,Airlines,Online,Silver Plan,1,11,SINGAPORE,29.5,7.38,M,30
C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,27.0,6.75,F,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,47,"TAIWAN, PROVINCE OF CHINA",34.0,0.0,None,36
SSI,Airlines,Online,Ticket Protector,0,10,SINGAPORE,3.34,0.94,None,48
C2B,Airlines,Online,Bronze Plan,0,14,SINGAPORE,20.0,5.0,F,29
JZI,Airlines,Online,Basic Plan,0,5,VIET NAM,18.0,6.3,M,63
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,9,SWITZERLAND,39.6,23.76,None,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,76,COSTA RICA,-90.0,0.0,None,23
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,90,AUSTRALIA,59.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,368,SINGAPORE,216.0,54.0,M,30
EPX,Travel Agency,Online,Cancellation Plan,0,5,INDONESIA,10.0,0.0,None,54
C2B,Airlines,Online,Silver Plan,0,6,SINGAPORE,18.5,4.63,M,28
C2B,Airlines,Online,Silver Plan,0,7,SINGAPORE,22.5,5.63,F,32
EPX,Travel Agency,Online,Cancellation Plan,0,1,VIET NAM,11.0,0.0,None,34
JWT,Airlines,Online,Value Plan,0,6,INDIA,31.0,12.4,M,118
C2B,Airlines,Online,Bronze Plan,0,10,SINGAPORE,23.0,5.75,F,30
C2B,Airlines,Online,Silver Plan,0,8,SINGAPORE,37.0,9.25,F,23
C2B,Airlines,Online,Silver Plan,0,3,SINGAPORE,37.0,9.25,F,39
JZI,Airlines,Online,Value Plan,0,26,"KOREA, REPUBLIC OF",69.0,24.15,M,50
JZI,Airlines,Online,Value Plan,0,12,JAPAN,45.0,15.75,M,37
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,THAILAND,109.0,0.0,None,39
EPX,Travel Agency,Online,Cancellation Plan,0,92,SWITZERLAND,50.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,10,CHINA,35.0,12.25,M,66
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,39,AUSTRALIA,112.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,23,AUSTRALIA,42.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,UNITED ARAB EMIRATES,29.7,17.82,None,53
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,35,MALAYSIA,-19.8,11.88,None,37
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,73,UNITED KINGDOM,39.6,23.76,None,53
C2B,Airlines,Online,Annual Gold Plan,0,375,SINGAPORE,399.6,99.9,F,52
RAB,Airlines,Online,Value Plan,0,2,BRUNEI DARUSSALAM,15.0,6.0,M,65
EPX,Travel Agency,Online,Cancellation Plan,0,1,MALAYSIA,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,43,SINGAPORE,75.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,1,8,SINGAPORE,17.0,4.25,M,34
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,UNITED STATES,9.9,5.94,None,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,19,THAILAND,22.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,23,CHINA,19.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,INDONESIA,20.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,39,INDONESIA,42.0,14.7,F,36
RAB,Airlines,Online,Value Plan,0,4,BRUNEI DARUSSALAM,15.0,6.0,M,39
JZI,Airlines,Online,Basic Plan,0,39,JAPAN,35.0,12.25,M,39
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,252.85,63.21,M,26
C2B,Airlines,Online,Annual Silver Plan,0,395,SINGAPORE,187.85,46.96,M,61
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,HONG KONG,23.0,0.0,None,39
C2B,Airlines,Online,Bronze Plan,0,10,SINGAPORE,32.4,8.1,F,34
EPX,Travel Agency,Online,Cancellation Plan,0,40,CHINA,13.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,6,SINGAPORE,15.0,0.0,None,36
JZI,Airlines,Online,Value Plan,1,105,"KOREA, REPUBLIC OF",45.0,15.75,F,19
JZI,Airlines,Online,Basic Plan,0,29,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,F,61
JZI,Airlines,Online,Basic Plan,0,72,JAPAN,35.0,12.25,F,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,19,AUSTRALIA,69.3,41.58,None,57
EPX,Travel Agency,Online,Cancellation Plan,0,18,THAILAND,23.0,0.0,None,43
C2B,Airlines,Online,Bronze Plan,0,193,SINGAPORE,33.5,8.38,M,23
EPX,Travel Agency,Online,Cancellation Plan,0,59,INDONESIA,19.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,155,THAILAND,10.0,0.0,None,51
JZI,Airlines,Online,Basic Plan,0,13,THAILAND,22.0,7.7,F,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,43,UNITED STATES,112.0,0.0,None,45
EPX,Travel Agency,Online,Cancellation Plan,0,7,CHINA,17.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,28,SINGAPORE,10.0,0.0,None,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,120,TURKEY,89.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,35,CHINA,43.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,MALAYSIA,20.0,0.0,None,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,261,PHILIPPINES,26.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,21,"KOREA, REPUBLIC OF",49.5,29.7,None,24
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,32,ITALY,-89.1,53.46,None,29
JZI,Airlines,Online,Basic Plan,0,38,CHINA,44.0,15.4,M,25
EPX,Travel Agency,Online,Cancellation Plan,0,34,INDONESIA,17.0,0.0,None,40
EPX,Travel Agency,Online,Cancellation Plan,0,31,INDIA,11.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,2,INDONESIA,10.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,82,INDONESIA,30.0,10.5,F,34
EPX,Travel Agency,Online,Cancellation Plan,0,18,HONG KONG,24.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,105,SINGAPORE,29.5,7.38,M,33
C2B,Airlines,Online,Bronze Plan,0,8,SINGAPORE,27.0,6.75,F,37
EPX,Travel Agency,Online,Cancellation Plan,0,10,JAPAN,37.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,UNITED STATES,33.0,0.0,None,58
C2B,Airlines,Online,Bronze Plan,0,10,SINGAPORE,29.5,7.38,F,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,THAILAND,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,5,SINGAPORE,10.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,4,SINGAPORE,16.0,4.0,M,70
C2B,Airlines,Online,Silver Plan,0,11,SINGAPORE,33.5,8.38,F,72
EPX,Travel Agency,Online,Cancellation Plan,0,1,MALAYSIA,10.0,0.0,None,35
C2B,Airlines,Online,Bronze Plan,0,15,SINGAPORE,0.0,6.63,M,30
C2B,Airlines,Online,Silver Plan,1,41,SINGAPORE,47.5,11.88,F,29
EPX,Travel Agency,Online,Cancellation Plan,0,12,MYANMAR,19.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,22,AUSTRALIA,59.4,35.64,None,46
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,THAILAND,79.2,47.52,None,31
JZI,Airlines,Online,Value Plan,0,109,UNITED KINGDOM,236.0,82.6,M,25
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,2,MALAYSIA,9.9,5.94,None,49
JZI,Airlines,Online,Value Plan,0,55,SPAIN,67.0,23.45,M,44
